,stations
1616,46224
1617,46225
1618,46226
1619,46227
1620,46228
1621,46229
1622,46230
1623,46231
1624,46232
1625,46234
1626,46235
1627,46236
1628,46237
1629,46238
1630,46239
1631,46240
1632,46241
1633,46242
1634,46243
1635,46244
1636,46245
1637,46247
1638,46248
1639,46249
1640,46250
1641,46251
1642,46253
1643,46254
1644,46256
1645,46257
1646,46258
1647,46262
1648,46267
1649,46268
1650,46269
1651,46273
1652,46274
1653,46275
1654,46276
1655,46277
1656,46278
1657,46279
1658,51200
1659,LJPC1
1660,48211
1661,48212
1662,48213
1663,48214
1664,48216
1665,46126
1666,48677
1667,48678
1668,48679
1669,48680
1670,CGCL1
1671,WDEL1
1672,SKMG1
1673,SPAG1
1674,TYBG1
1675,FBPS1
1676,SMBS1
1677,48215
1678,ACMN4
1679,AVAN4
1680,BRBN4
1681,OCGN4
1682,SGRN4
1683,44069
1684,45178
1685,45188
1686,45179
1687,42043
1688,42044
1689,42045
1690,42046
1691,42047
1692,42048
1693,42049
1694,42050
1695,42051
1696,ANPT2
1697,AWRT2
1698,BABT2
1699,BZST2
1700,CLLT2
1701,CPNT2
1702,EMAT2
1703,EPTT2
1704,GLPT2
1705,GRRT2
1706,HIST2
1707,IRDT2
1708,LUIT2
1709,LYBT2
1710,MGPT2
1711,NCHT2
1712,NGLT2
1713,NWST2
1714,PACT2
1715,PCGT2
1716,PCNT2
1717,PMNT2
1718,PORT2
1719,RLIT2
1720,RLOT2
1721,RSJT2
1722,RTAT2
1723,RTOT2
1724,SDRT2
1725,SGNT2
1726,TAQT2
1727,VCAT2
1728,BPHF1
1729,FRKF1
1730,41117
1731,42078
1732,42079
1733,42093
1734,42095
1735,42097
1736,44056
1737,44089
1738,44091
1739,45180
1740,46259
1741,46266
1742,BTHD1
1743,FRFN7
1744,JPRN7
1745,OCSM2
1746,44087
1747,46252
1748,0Y2W3
1749,18CI3
1750,20CM4
1751,C58W3
1752,62028
1753,62029
1754,62030
1755,62050
1756,62081
1757,62103
1758,62105
1759,62107
1760,62108
1761,62163
1762,62170
1763,62298
1764,62301
1765,62303
1766,62304
1767,62305
1768,62442
1769,64045
1770,64046
1771,44086
1772,44095
1773,44092
1774,48012
1775,BDXC1
1776,FPXC1
1777,KNOH1
1778,45186
1779,45187
1780,HPLM2
1781,45021
1782,GTBM4
1783,45022
1784,45024
1785,45027
1786,45028
1787,44073
1788,44098
1789,CMLN3
1790,41062
1791,41063
1792,46120
1793,46121
1794,46122
1795,46123
1796,46124
1797,46125
1798,45218
1799,45013
1800,45014
1801,45184
1802,45185
1803,42067
1804,45166
1805,44093
1806,44052
1807,44053
1808,GDIV2
1809,VMSV2
1810,44085
1811,44090
1812,32012
1813,32ST0
1814,41060
1815,41061
1816,41NT0
1817,43010
1818,51WH0
